nsub	name	sex	age	block	trial	level	rispAC	nreversals	actualstep	subnote
NaN			NaN	 1	 1	10.000	1.0	0	2.000	
NaN			NaN	 1	 2	10.000	0.0	0	2.000	
NaN			NaN	 1	 3	20.000	1.0	0	2.000	
NaN			NaN	 1	 4	20.000	1.0	1	2.000	
NaN			NaN	 1	 5	10.000	1.0	1	2.000	
NaN			NaN	 1	 6	10.000	1.0	1	2.000	
NaN			NaN	 1	 7	5.000	1.0	1	2.000	
NaN			NaN	 1	 8	5.000	0.0	2	2.000	
NaN			NaN	 1	 9	10.000	1.0	2	2.000	
NaN			NaN	 1	10	10.000	1.0	3	2.000	
NaN			NaN	 1	11	5.000	1.0	3	2.000	
NaN			NaN	 1	12	5.000	1.0	3	2.000	
NaN			NaN	 1	13	2.500	1.0	3	2.000	
NaN			NaN	 1	14	2.500	1.0	3	2.000	
NaN			NaN	 1	15	1.250	1.0	3	2.000	
NaN			NaN	 1	16	1.250	1.0	3	2.000	
NaN			NaN	 1	17	0.625	1.0	3	2.000	
NaN			NaN	 1	18	0.625	0.0	4	2.000	
NaN			NaN	 1	19	1.250	0.0	4	2.000	
NaN			NaN	 1	20	2.500	1.0	4	2.000	
NaN			NaN	 1	21	2.500	0.0	4	2.000	
NaN			NaN	 1	22	5.000	0.0	4	2.000	
NaN			NaN	 1	23	10.000	1.0	4	2.000	
NaN			NaN	 1	24	10.000	1.0	5	1.414	
NaN			NaN	 1	25	7.071	1.0	5	1.414	
NaN			NaN	 1	26	7.071	1.0	5	1.414	
NaN			NaN	 1	27	5.000	1.0	5	1.414	
NaN			NaN	 1	28	5.000	1.0	5	1.414	
NaN			NaN	 1	29	3.536	1.0	5	1.414	
NaN			NaN	 1	30	3.536	0.0	6	1.414	
NaN			NaN	 1	31	5.000	1.0	6	1.414	
NaN			NaN	 1	32	5.000	1.0	7	1.414	
NaN			NaN	 1	33	3.536	1.0	7	1.414	
NaN			NaN	 1	34	3.536	1.0	7	1.414	
NaN			NaN	 1	35	2.500	1.0	7	1.414	
NaN			NaN	 1	36	2.500	0.0	8	1.414	
NaN			NaN	 1	37	3.536	1.0	8	1.414	
NaN			NaN	 1	38	3.536	1.0	9	1.414	
NaN			NaN	 1	39	2.500	1.0	9	1.414	
NaN			NaN	 1	40	2.500	0.0	10	1.414	
NaN			NaN	 1	41	3.536	1.0	10	1.414	
NaN			NaN	 1	42	3.536	1.0	11	1.414	
NaN			NaN	 1	43	2.500	0.0	12	1.414	
